resp,S1,S2,S3
1,../images/cartoon/original.jpg,../images/cartoon/30_scaled.jpg,../images/cartoon/75_scaled.jpg
1,../images/cartoon/x16_scaled.jpg,../images/cartoon/x8_scaled.jpg,../images/cartoon/original.jpg
0,../images/cartoon/original.jpg,../images/cartoon/60_scaled.jpg,../images/cartoon/75_scaled.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/75_scaled.jpg,../images/cartoon/original.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/75_scaled.jpg,../images/cartoon/60_scaled.jpg
1,../images/cartoon/original.jpg,../images/cartoon/30_scaled.jpg,../images/cartoon/85_scaled.jpg
0,../images/cartoon/x16_scaled.jpg,../images/cartoon/x4_scaled.jpg,../images/cartoon/original.jpg
0,../images/cartoon/30_scaled.jpg,../images/cartoon/75_scaled.jpg,../images/cartoon/85_scaled.jpg
1,../images/cartoon/original.jpg,../images/cartoon/x2_scaled.jpg,../images/cartoon/x16_scaled.jpg
0,../images/cartoon/original.jpg,../images/cartoon/30_scaled.jpg,../images/cartoon/60_scaled.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/85_scaled.jpg,../images/cartoon/30_scaled.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/85_scaled.jpg,../images/cartoon/75_scaled.jpg
1,../images/cartoon/30_scaled.jpg,../images/cartoon/60_scaled.jpg,../images/cartoon/85_scaled.jpg
1,../images/cartoon/original.jpg,../images/cartoon/60_scaled.jpg,../images/cartoon/85_scaled.jpg
1,../images/cartoon/original.jpg,../images/cartoon/85_scaled.jpg,../images/cartoon/95_scaled.jpg
1,../images/cartoon/60_scaled.jpg,../images/cartoon/85_scaled.jpg,../images/cartoon/95_scaled.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/60_scaled.jpg,../images/cartoon/original.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/30_scaled.jpg,../images/cartoon/original.jpg
0,../images/cartoon/original.jpg,../images/cartoon/75_scaled.jpg,../images/cartoon/85_scaled.jpg
0,../images/cartoon/75_scaled.jpg,../images/cartoon/60_scaled.jpg,../images/cartoon/30_scaled.jpg
0,../images/cartoon/x8_scaled.jpg,../images/cartoon/x2_scaled.jpg,../images/cartoon/original.jpg
0,../images/cartoon/95_scaled.jpg,../images/cartoon/75_scaled.jpg,../images/cartoon/30_scaled.jpg
1,../images/cartoon/30_scaled.jpg,../images/cartoon/60_scaled.jpg,../images/cartoon/95_scaled.jpg
1,../images/cartoon/x16_scaled.jpg,../images/cartoon/x8_scaled.jpg,../images/cartoon/x2_scaled.jpg
0,../images/cartoon/x8_scaled.jpg,../images/cartoon/x4_scaled.jpg,../images/cartoon/x2_scaled.jpg
0,../images/cartoon/x4_scaled.jpg,../images/cartoon/x2_scaled.jpg,../images/cartoon/original.jpg
1,../images/cartoon/original.jpg,../images/cartoon/x4_scaled.jpg,../images/cartoon/x8_scaled.jpg
1,../images/cartoon/x2_scaled.jpg,../images/cartoon/x4_scaled.jpg,../images/cartoon/x16_scaled.jpg
0,../images/cartoon/85_scaled.jpg,../images/cartoon/75_scaled.jpg,../images/cartoon/60_scaled.jpg
0,../images/cartoon/x4_scaled.jpg,../images/cartoon/x8_scaled.jpg,../images/cartoon/x16_scaled.jpg
